OrderDate,Quantity,Combining_Duplicates,
2017-09-08,1,80.9,
2017-09-20,1,146.75,
2017-09-23,1,49.85,
2017-09-24,1,9.13,
2017-09-27,1,111.42,
2017-09-28,1,57.03,
2017-10-01,1,66.64,
2017-10-05,1,70.92,
2017-10-11,1,16.35,
2017-10-12,1,39.95,
2017-10-15,1,17.65,
2017-10-19,1,10,
2017-10-21,1,35.97,
2017-11-03,1,36.89,
2017-11-05,1,19.76,
2017-11-06,1,50.55,
2017-11-07,1,19.99,
2017-11-08,1,16.87,
2017-11-15,1,21.8,
2017-11-16,1,13.95,
2017-11-19,1,38.6,
2017-11-23,1,153.65,
2017-11-25,1,191.57,
2017-11-27,1,133.54,
2017-11-29,1,61.58,
2017-12-01,1,14.31,
2017-12-02,1,43.76,
2017-12-05,1,38.89,
2017-12-07,1,90.88,
2017-12-13,1,371.31,
2017-12-15,1,20.09,
2017-12-25,1,38.55,
2017-12-27,1,13.67,
2017-12-29,1,21.89,
2017-12-31,1,47.03,
2018-01-03,1,30.55,
2018-01-10,1,16.34,
2018-01-11,1,9.48,
2018-01-18,1,72.14,
2018-01-19,1,33.95,
2018-01-22,1,39.75,
2018-01-24,1,27.31,
2018-01-25,1,37.97,
2018-01-27,1,50.28,
2018-02-05,1,34.99,
2018-02-08,1,35.18,
2018-02-09,1,9.9,
2018-02-13,1,54.81,
2018-02-15,1,47.37,
2018-02-24,1,44.99,
2018-02-25,1,17.16,
2018-02-28,1,102.27,
2018-03-01,1,6.64,
2018-03-02,1,97.67,
2018-03-05,1,49.09,
2018-03-06,1,10.59,
2018-03-09,1,31.62,
2018-03-18,2,30.58,
2018-03-19,1,86.3,
2018-03-22,1,57.83,
2018-03-25,1,27.96,
2018-04-10,1,44.98,
2018-04-11,1,39.78,
2018-04-13,1,50,
2018-04-19,1,25.04,
2018-04-23,1,41.91,
2018-05-03,1,10.98,
2018-05-17,1,130.85,
2018-05-18,1,23.88,
2018-05-19,1,66.42,
2018-05-26,1,224.94,
2018-05-27,1,24.99,
2018-05-29,1,27.93,
2018-06-04,1,30.8,
2018-06-05,1,34.45,
2018-06-09,2,58.53,
2018-06-10,3,87.18,
2018-06-11,1,13.49,
2018-06-13,1,12.45,
2018-06-17,1,6.99,
2018-06-18,1,65.48,
2018-06-26,1,40.98,
2018-06-28,1,20.89,
2018-07-01,1,9.43,
2018-07-04,2,57.2,
2018-07-05,1,7.54,
2018-07-07,1,30.55,
2018-07-08,1,114.51,
2018-07-09,1,58.01,
2018-07-11,1,88.64,
2018-07-13,2,70.57,
2018-07-17,1,35.67,
2018-07-21,1,29.56,
2018-08-08,1,66.16,
2018-08-10,1,13.7,
2018-08-14,1,60.57,
2018-08-20,1,102.63,
2018-08-21,1,54.95,
2018-08-22,1,72.69,
2018-08-28,1,97.6,
2018-09-01,1,26.36,
2018-09-07,1,48.79,
2018-09-09,1,31.64,
2018-09-13,2,64.24,
2018-09-14,1,19.38,
2018-09-15,1,26.36,
2018-09-16,1,14,
2018-09-20,2,19.38,
2018-09-24,1,17.64,
2018-09-25,1,60.44,
2018-10-07,1,53.47,
2018-10-11,1,23.16,
2018-10-20,1,34.12,
2018-10-22,1,39.02,
2018-10-31,1,15.99,
2018-11-01,1,33.57,
2018-11-02,1,121.78,
2018-11-03,2,21.08,
2018-11-04,1,24.49,
2018-11-09,1,39.02,
2018-11-15,1,54.77,
2018-11-17,1,137.58,
2018-11-18,1,48.5,
2018-11-20,1,27.63,
2018-11-22,1,125.74,
2018-11-23,1,5.38,
2018-11-24,1,54.18,
2018-11-27,1,19.99,
2018-11-28,1,8.39,
2018-12-01,1,55.88,
2018-12-03,1,133.67,
2018-12-06,1,26.79,
2018-12-09,1,24.85,
2018-12-10,1,59.73,
2018-12-11,2,133.58,
2018-12-12,1,43.92,
2018-12-15,1,131.1,
2018-12-16,1,5.16,
2018-12-19,1,42.19,
2018-12-22,1,25.97,
2018-12-26,1,31.64,
2018-12-29,1,15.81,
2018-12-31,1,29.52,
2019-01-01,1,11.59,
2019-01-05,1,91.75,
2019-01-06,1,85.85,
2019-01-11,1,20.61,
2019-01-13,1,39.69,
2019-01-19,1,22.14,
2019-01-20,1,57.99,
2019-01-30,1,61.71,
2019-02-05,1,133.65,
2019-02-08,1,123.19,
2019-02-17,1,125.95,
2019-02-18,1,3.15,#REF!
2019-02-26,1,97.61,
2019-02-27,1,114.46,
2019-03-01,1,74.95,
