OrderDate,Quantity
7/18/2006,1
5/21/2007,1
6/22/2009,2
7/22/2009,1
7/22/2009,1
11/1/2009,1
11/29/2009,1
4/18/2010,2
5/27/2010,1
9/7/2010,1
9/7/2010,1
10/11/2010,1
11/7/2010,1
11/21/2010,2
12/27/2010,1
3/12/2011,1
3/19/2011,1
3/19/2011,1
3/19/2011,1
6/29/2011,1
6/29/2011,1
6/29/2011,1
9/14/2011,1
9/14/2011,1
10/30/2011,1
11/17/2011,1
11/26/2011,1
11/26/2011,1
1/7/2012,1
1/7/2012,1
1/20/2012,1
2/19/2012,1
2/19/2012,1
4/27/2012,1
4/27/2012,1
4/27/2012,1
4/27/2012,1
5/31/2012,1
6/23/2012,1
6/24/2012,1
7/4/2012,1
7/4/2012,1
7/5/2012,1
7/5/2012,1
10/23/2012,1
10/23/2012,1
10/23/2012,1
10/28/2012,1
10/29/2012,1
10/29/2012,1
10/29/2012,1
10/29/2012,1
10/29/2012,1
11/2/2012,1
11/2/2012,1
11/2/2012,1
11/2/2012,1
11/2/2012,1
11/5/2012,1
11/9/2012,1
11/9/2012,1
11/9/2012,1
11/10/2012,1
11/16/2012,1
11/16/2012,4
11/16/2012,2
11/22/2012,1
11/22/2012,1
11/22/2012,1
11/22/2012,1
11/22/2012,1
11/22/2012,1
11/23/2012,1
11/23/2012,1
11/23/2012,1
11/23/2012,1
11/26/2012,1
12/23/2012,1
12/23/2012,1
12/23/2012,1
12/23/2012,1
12/24/2012,1
12/24/2012,1
1/1/2013,1
1/8/2013,1
2/19/2013,1
2/19/2013,1
2/19/2013,1
3/2/2013,12
3/3/2013,1
3/3/2013,1
3/3/2013,1
3/9/2013,1
3/9/2013,1
3/9/2013,1
4/3/2013,1
4/3/2013,1
4/3/2013,1
4/3/2013,2
5/19/2013,1
6/4/2013,1
6/4/2013,1
6/10/2013,1
6/10/2013,1
6/10/2013,1
6/13/2013,1
6/13/2013,1
6/13/2013,1
6/14/2013,1
6/14/2013,1
6/14/2013,1
7/13/2013,1
7/13/2013,1
7/13/2013,1
7/27/2013,2
7/27/2013,1
7/27/2013,1
7/27/2013,1
7/27/2013,1
7/27/2013,1
7/27/2013,1
7/27/2013,2
7/27/2013,1
7/27/2013,2
7/30/2013,1
7/31/2013,1
8/2/2013,1
8/2/2013,2
8/2/2013,1
8/6/2013,1
8/6/2013,1
8/6/2013,1
8/13/2013,1
9/28/2013,1
9/28/2013,1
10/30/2013,1
11/1/2013,1
11/1/2013,1
11/6/2013,1
11/6/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/21/2013,1
11/27/2013,1
11/27/2013,1
11/28/2013,1
11/28/2013,1
11/28/2013,1
11/29/2013,1
11/29/2013,1
11/29/2013,1
11/29/2013,1
11/29/2013,1
11/29/2013,1
12/2/2013,1
12/2/2013,1
12/2/2013,1
12/3/2013,1
12/3/2013,1
12/8/2013,1
12/8/2013,1
12/8/2013,1
12/8/2013,1
12/8/2013,1
12/8/2013,3
2/4/2014,1
2/14/2014,1
2/15/2014,1
2/15/2014,1
2/15/2014,1
2/15/2014,1
2/15/2014,1
2/15/2014,1
2/15/2014,1
2/15/2014,1
2/15/2014,1
